00-91	AMASync1	AMANDA_SYNC_DOM	1e5b72775d19
00-92	AMATrig1	AMANDA_TRIG_DOM	1d165fc478ca
21-01	UP4P0264	Bat	737d355af587
21-02	TP4P0101	Conchiglie	5b9ae7909352
21-03	UP4P0192	Summer_ale	6e6733a279a7
21-04	TP4P0303	Topi	66504b293808
21-05	UP4P0170	Dubbel	abcfd5e5a352
21-06	TP4P0291	Squirrel	fe92d7ff4480
21-07	UP4P0166	Trappist	32bb0201e5a7
21-08	TP4P0271	Rhinoceros	fb0944d283fd
21-09	UP4H0019	Erik_the_Red	38ae7fdfc4c7
21-10	TP4H0024	Ragnar_Lodbrok	20f6cf1215f8
21-11	UP4H0017	Erik_Segersaell	72fecfd94382
21-12	TP4H0021	Sverker	40429f5180f6
21-13	UP4Y0014	Wickueler	85d69873ad04
21-14	TP4Y0059	Reissdorf_Koelsch	ffb9b1b82c88
21-15	UP4Y0056	Pilsener_Urquell	de18daf832b4
21-16	TP4Y0053	Radeberger_Pilsener	b804f6f38a45
21-17	UP4Y0026	Wittinger	e53c98680186
21-18	TP4Y0027	Veltins	858a79abc807
21-19	UP4Y0016	Rhenenia_Alt	427ea29c4bb5
21-20	TP4Y0013	Schneider_Weisse	4255e2b1c79f
21-21	UP4P0252	Antelope	16a5b9112b00
21-22	TP4P0325	Wombat	525d954116a7
21-23	UP4P0346	Lemur	916ceadb214d
21-24	TP4P0255	Porcupine	9513f8a612b5
21-25	UP4P0320	Gnu	f004760c91e6
21-26	TP4P0225	Mouse	d638529ba5ad
21-27	UP4P0302	Dolphin	4424ac8d389a
21-28	TP4P0221	Monkey	8b9f35308e27
21-29	UP4P0254	Syrah	acf3852b67e7
21-30	TP4P0157	Phenol	57bb7c43b042
21-31	UP4P0236	Dimethylsulfoxide	8d0872b30a8a
21-32	TP4P0153	Cholesterol	6c34a4a77c08
21-33	UP4P0230	Oatmeal_stout	50cb49c42356
21-34	TP4P0151	Lima_bean	0df7b060acad
21-35	UP4P0220	Dimethylamine	9a1136171c74
21-36	TP4P0149	Glycerol	a48aaec81ca3
21-37	UP4P0196	Anthracene	fbfd0026868a
21-38	TP4P0189	Indole	c3780e484438
21-39	UP4P0186	Parsley	77d222d84888
21-40	TP4P0185	Diethyl_ether	634e0cd60304
21-41	UP4P0168	Cayenne_pepper	0b3d4beac530
21-42	TP4P0181	Porter	6bda3a3ae651
21-43	UP4P0162	Chardonnay	f23c1d938a5b
21-44	TP4P0145	Napthalene	82b54295e9cb
21-45	UP4P0206	Hamachi	9ead08e7e9ee
21-46	TP4P0203	Tetrahydrofuran	d337025ec466
21-47	UP4P0204	Avocado	5e17341bb4eb
21-48	TP4P0169	Riesling	a727fddbb7f4
21-49	UP4P0156	Suzuki	b467b12814cb
21-50	TP4P0081	Loquat	7609beae9ca6
21-51	UP4P0148	Argon	789ca09a087e
21-52	AP4P0078	Nitrogen	acd733b2b248
21-53	UP4P0214	Sulfur	423ed83846c3
21-54	TP4P0127	Fluorine	6f242f105485
21-55	UP4P0158	Vanadium	f85c7530c973
21-56	TP4P0121	Oxygen	455c5f0f8a3f
21-57	UP4P0138	Beryllium	a2a379faa0ba
21-58	TP4P0117	Sodium	ef3e4ba9cba4
21-59	UP4P0108	Ebi	755fc7596d46
21-60	TP4P0103	Bucatini	fe6689460566
21-61	AP4P0076	Ziti	86355672dcee
21-62	AP4P0061	Uni	c80b79e1a8b7
21-63	TP4P0179	Brown_ale	1ebec6395f96
21-64	TP4P0141	Fig	62645a002733
29-01	UP5P0668	Demophobia	753429b1f63d
29-02	TP5P0639	Ostraconophobia	547cf31ff4c8
29-03	UP5P0726	Geniophobia	c992e597a438
29-04	TP5P0655	Panophobia	6e41ab3703aa
29-05	UP5P0618	Ephebiphobia	81f0a16ec914
29-06	TP5P0719	Thalassophobia	173206b4f36c
29-07	UP5P0694	Koinoniphobia	e3eee807094f
29-08	TP5Y0089	Ostbahnhof	9ef3fedb9d36
29-09	UP5P0740	Acerophobia	12d19e75bc5a
29-10	TP5P0839	Microphilia	f4610aed678c
29-11	UP5H0110	Farsta	3740f1e662c4
29-12	TP5P0671	Olfactophobia	f765a906660e
29-13	UP5H0112	Rinkeby	1375759346b9
29-14	TP5P0697	Metrophobia	14be85ac9369
29-15	UP5P0664	Ecclesiophobia	a4bdff4f7bd0
29-16	TP5P0607	Sluag	e003d4bb5d53
29-17	UP5P0580	Lampwick	b897262bf58a
29-18	TP5P0601	Yurei	7b25f215b425
29-19	UP5Y0074	Dodge_Viper	8f96faaca054
29-20	TP5P0577	Vitore	f49ee981a008
29-21	UP5P0612	Kobold	396a5d961de1
29-22	TP5P0691	Siderophobia	6368b5d0bb78
29-23	UP5P0716	Hedonophobia	fc11ec76b61c
29-24	TP5P0613	Yeti	3513aaef1b5b
29-25	UP5P0708	Ideophobia	0f8b70fee5bd
29-26	TP5H0157	Tensta	b5e30e459da4
29-27	UP5P0614	Amychophobia	6b22691c7809
29-28	TP5P0633	Zemmiphobia	a59c9e8c40b6
29-29	UP5P0648	Hobophobia	76716b1074c1
29-30	TP5P0637	Tetanophobia	426393f54b3c
29-31	UP5P0550	Bigfoot	1551e2c72d57
29-32	TP5Y0073	Grunau	345439194e49
29-33	UP5P0698	Coitophobia	80bf89d1a264
29-34	TP5P0723	Telephonophobia	b352db1a3e9a
29-35	UP5P0628	Equinophobia	c7f5e1b27dd2
29-36	TP5P0675	Politicophobia	134cbe8a1688
29-37	UP5P0684	Heliophobia	ffa332fbf3a4
29-38	TP5H0165	Akalla	7dd7dbc1e5aa
29-39	UP5P0742	Heterophobia	45f49f30d235
29-40	TP5P0725	Novercaphobia	f64cd2807fc9
29-41	UP5Y0082	Elfin_Clubman	6b2910ec59bc
29-42	TP5P0679	Symmetrophobia	979a9d734707
29-43	UP5P0514	Gargoyle	1b699147c996
29-44	TP5P0513	Waterspout	320455e571e3
29-45	UP5P0512	Cape_Doctor	b35b5ab19233
29-46	TP5P0539	Trade_Wind	b5f7530e95da
29-47	UP5P0530	Foehn	686822b226b8
29-48	TP5P0875	Myrmecophilia	838365d96c9c
29-49	UP5P0534	Cyclone	454611892eea
29-50	TP5P0645	Peladophobia	20cc089e04a8
29-51	UP5H0166	Abrahamsberg	10dbd5f897a7
29-52	TP5P0623	Phengophobia	3c2770177988
29-53	UP5Y0124	Land_Rover	f2c126e81f64
29-54	TP5P0647	Nomatophobia	fe6b36e170cc
29-55	UP5P0582	Itchetiky	ec54677bbb9e
29-56	TP5P0603	Mnemophobia	298d81d7e130
29-57	UP5H0168	Odenplan	b3732fdb626b
29-58	TP5Y0111	Nikolassee	be5843e76a69
29-59	UP5P0656	Auroraphobia	e60b983e412e
29-60	TP5P0581	Nix	347fd0110547
29-61	TP4P0161	Cerrano_pepper	75f1a642df54
29-62	AP4P0077	Helium	173ce1549a47
29-63	AP4P0065	Tako	69a38b5dc5f8
29-64	TP4P0129	Manicotti	308d3f7692fd
30-01	UP4Y0050	Becks	3ce8c188bdf6
30-02	TP4P0159	Barley_wine	c0c77d10f143
30-03	UP4H0058	Rosersberg	f3857903416d
30-04	TP4H0046	Jakobsberg	61487316ca54
30-05	UP4P0340	Jaguar	f4bddca5717c
30-06	TP5Y0081	Planterwald	b7f25f056104
30-07	UP4P0342	Kangaroo	98a9e8e72cf1
30-08	TP5H0197	Molnby	eb9f5614053e
30-09	UP5Y0190	Renault_Alpine	724f1ae21fe6
30-10	TP4H0020	Aethelred	a37441207611
30-11	UP4P0330	Hippopotamus	e9ca36873110
30-12	TP4P0155	Skatole	f299368f44fb
30-13	UP5P0654	Glossophobia	aa6f56d166a1
30-14	TP4P0163	Onion	28a8ef99c234
30-15	UP5Y0100	Hyundai_Sonata	f67f7b185ef7
30-16	TP5Y0169	Acura_Integra	d2a0f0a1b941
30-17	UP5Y0224	Swallow_Doretti	866c809f3657
30-18	TP4H0023	Sven_Gaffelbeard	1cbe412e2d37
30-19	UP5P0578	Boggart	58a90e542f8e
30-20	TP4P0205	Rhubarb	02cbcbc2c8bd
30-21	UP4P0182	Lambic	5616e19cb827
30-22	TP4H0038	Ragnvald_Knaphoevde	31fe50f2c0b4
30-23	UP5Y0178	Peugeot_505	f6b62d03a818
30-24	TP5Y0185	Avanti_GT	b821873ff31a
30-25	UP4H0026	Bluetooth	d030f9de4010
30-26	TP4H0037	Sverker_den_Aeldre	1fd95fe5fa1c
30-27	UP4P0188	English_bitter	6c7b32bac895
30-28	TP4P0167	Tripel	fac5284c8165
30-29	UP4P0190	Rutabega	820a6a039815
30-30	TP4H0016	Alfred	74437a4fe111
30-31	UP5Y0206	Singer_Sedan	c0f1ad586123
30-32	TP5Y0123	Friedrichsfelde	e133f6ea4687
30-33	UP4H0045	Solentuna	066d38c2620f
30-34	TP4H0040	Nacka	a0c9794bcdc3
30-35	UP4P0176	Ale	abffc18cfb4b
30-36	TP4P0191	Pale_ale	fdf1a68efd2c
30-37	UP5Y0214	Subaru_WLX	1b4c85b411c2
30-38	TP5Y0207	Citroen_2cv	f87b38c23e18
30-39	UP4H0054	Bro	7df47437aefd
30-40	TP4H0041	Solna	724fa3c3c1cd
30-41	UP4P0218	Merlot	3b4c932b6664
30-42	TP4P0207	Manatee	581e9c38406e
30-43	UP5Y0154	Mitsubishi_Galant	9d43090f990d
30-44	TP5Y0213	Covini_C6W	cb34e91ecaf8
30-45	UP4P0276	Capybara	0d42d3e12c9f
30-46	TP4P0217	Asparagus	44c3682eb25c
30-47	UP5Y0182	Plymouth_Prowler	ea71da9fe554
30-48	TP5Y0221	Daimler_Dart	4de8420ce363
30-49	UP5H0160	Kista	40f14ab43b31
30-50	TP4H0050	Handen	741fdd5b6111
30-51	UP4P0120	Carambola	5f223b64daf4
30-52	TP4H0036	Erik_den_Helige	1bdc3e9c8b74
30-53	UP4P0080	Blueberry	b1fc89162c0b
30-54	TP5P0929	Lansing	7e2b00bad815
30-55	UP4P0084	Strawberry	bb6614295b8c
30-56	TP4Y0051	Roemer_Pils	670437bebac1
30-57	UP4H0030	Ivar	a9e3eb186b76
30-58	TP4P0091	Orange	b7be287e1733
30-59	UP4H0025	Grom	638a9047225a
30-60	TP4P0137	Rowan	7f01563a42c2
30-61	AP4P0063	Akagai	22c1d090b1eb
30-62	AP4P0070	Lithium	06f482883442
30-63	AP4P0066	Carbon	eeb299b6639d
30-64	TP4P0199	Black_bean	d52b66ab6861
38-01	UP5Y0172	Packard_120	ce8466df84c2
38-02	TP4P0265	Rabbit	2ba475921bff
38-03	UP5Y0098	Hummer_H2	bcd324dddc3d
38-04	TP5P0631	Megalophobia	9a97dd8b6516
38-05	UP5Y0146	McLaren_F1	fc385400b72a
38-06	TP4P0307	Uakari	811227c3746c
38-07	UP5Y0138	Marmon_78	a0d899b577cb
38-08	TP5Y0087	Warschauer	6432e28f770f
38-09	UP4P0280	Cat	798e62def158
38-10	TP5Y0095	Friedrichstrasse	4d983ea5297a
